Date,Open,High,Low,Close,Adj Close,Volume
2002-07-08,3155.879883,3155.879883,3155.879883,3155.879883,3155.879883,0
2002-07-09,3113.699951,3113.699951,3113.699951,3113.699951,3113.699951,0
2002-07-10,2983.469971,2983.469971,2983.469971,2983.469971,2983.469971,0
2002-07-11,2883.919922,2883.919922,2883.919922,2883.919922,2883.919922,0
2002-07-12,2886.300049,2886.300049,2886.300049,2886.300049,2886.300049,0
2002-07-15,2709.219971,2709.219971,2709.219971,2709.219971,2709.219971,0
2002-07-16,2713.729980,2713.729980,2713.729980,2713.729980,2713.729980,0
2002-07-17,2819.629883,2819.629883,2819.629883,2819.629883,2819.629883,0
2002-07-18,2850.139893,2850.139893,2850.139893,2850.139893,2850.139893,0
2002-07-19,2695.469971,2695.469971,2695.469971,2695.469971,2695.469971,0
2002-07-22,2544.949951,2544.949951,2544.949951,2544.949951,2544.949951,0
2002-07-23,2458.560059,2458.560059,2458.560059,2458.560059,2458.560059,0
2002-07-24,2438.310059,2438.310059,2438.310059,2438.310059,2438.310059,0
2002-07-25,2515.199951,2515.199951,2515.199951,2515.199951,2515.199951,0
2002-07-26,2536.939941,2536.939941,2536.939941,2536.939941,2536.939941,0
2002-07-29,2723.010010,2723.010010,2723.010010,2723.010010,2723.010010,0
2002-07-30,2691.909912,2691.909912,2691.909912,2691.909912,2691.909912,0
2002-07-31,2685.790039,2685.790039,2685.790039,2685.790039,2685.790039,0
2002-08-01,2557.850098,2557.850098,2557.850098,2557.850098,2557.850098,0
2002-08-02,2547.120117,2547.120117,2547.120117,2547.120117,2547.120117,0
2002-08-05,2447.320068,2447.320068,2447.320068,2447.320068,2447.320068,0
2002-08-06,2592.239990,2592.239990,2592.239990,2592.239990,2592.239990,0
2002-08-07,2564.770020,2564.770020,2564.770020,2564.770020,2564.770020,0
2002-08-08,2698.179932,2698.179932,2698.179932,2698.179932,2698.179932,0
2002-08-09,2750.169922,2750.169922,2750.169922,2750.169922,2750.169922,0
2002-08-12,2670.780029,2670.780029,2670.780029,2670.780029,2670.780029,0
2002-08-13,2698.989990,2698.989990,2698.989990,2698.989990,2698.989990,0
2002-08-14,2590.750000,2590.750000,2590.750000,2590.750000,2590.750000,0
2002-08-15,2677.739990,2677.739990,2677.739990,2677.739990,2677.739990,0
2002-08-16,2713.959961,2713.959961,2713.959961,2713.959961,2713.959961,0
2002-08-19,2825.389893,2825.389893,2825.389893,2825.389893,2825.389893,0
2002-08-20,2771.399902,2771.399902,2771.399902,2771.399902,2771.399902,0
2002-08-21,2802.949951,2802.949951,2802.949951,2802.949951,2802.949951,0
2002-08-22,2872.020020,2872.020020,2872.020020,2872.020020,2872.020020,0
